ID,Año del hecho,Sexo de la victima,Grupo de edad de la victima,Mes del hecho,Dia del hecho,Departamento del hecho DANE,Municipio del hecho DANE,Lesion fatal de causa externa,Estado
19052,2018,Hombre,(80 y más),Abril,Viernes,Huila,Pitalito,Violenta - Muertes en accidentes de transporte,Datos definitivos
19053,2018,Hombre,(80 y más),Mayo,Miércoles,Huila,Neiva,Violenta - Muertes en accidentes de transporte,Datos definitivos
19054,2018,Hombre,(25 a 29),Junio,Viernes,Huila,Neiva,Violenta - Muertes en accidentes de transporte,Datos definitivos
19055,2018,Hombre,(25 a 29),Junio,Domingo,Huila,Rivera,Violenta - Muertes en accidentes de transporte,Datos definitivos
19056,2018,Mujer,(40 a 44),Junio,Domingo,Huila,Rivera,Violenta - Muertes en accidentes de transporte,Datos definitivos
19057,2018,Hombre,(18 a 19),Junio,Miércoles,Huila,Palermo,Violenta - Muertes en accidentes de transporte,Datos definitivos
19058,2018,Hombre,(35 a 39),Junio,Domingo,Huila,Neiva,Violenta - Muertes en accidentes de transporte,Datos definitivos
19059,2018,Hombre,(35 a 39),Junio,Jueves,Huila,Neiva,Violenta - Muertes en accidentes de transporte,Datos definitivos
19060,2018,Hombre,(25 a 29),Mayo,Sábado,Huila,Rivera,Violenta - Muertes en accidentes de transporte,Datos definitivos
19061,2018,Hombre,(55 a 59),Junio,Sábado,Huila,Rivera,Violenta - Muertes en accidentes de transporte,Datos definitivos
19062,2018,Mujer,(75 a 79),Junio,Domingo,Huila,Yaguará,Violenta - Muertes en accidentes de transporte,Datos definitivos
19063,2018,Mujer,(55 a 59),Junio,Sábado,Huila,Baraya,Violenta - Muertes en accidentes de transporte,Datos definitivos
19064,2018,Hombre,(25 a 29),Junio,Martes,Huila,Campoalegre,Violenta - Muertes en accidentes de transporte,Datos definitivos
19065,2018,Mujer,(00 a 04),Junio,Martes,Tolima,Coyaima,Violenta - Muertes en accidentes de transporte,Datos definitivos
19066,2018,Hombre,(18 a 19),Junio,Sábado,Huila,Neiva,Violenta - Muertes en accidentes de transporte,Datos definitivos
19067,2018,Hombre,(70 a 74),Junio,Miércoles,Huila,Neiva,Violenta - Muertes en accidentes de transporte,Datos definitivos
19068,2018,Hombre,(80 y más),Junio,Miércoles,Huila,Neiva,Violenta - Muertes en accidentes de transporte,Datos definitivos
19069,2018,Hombre,(75 a 79),Julio,Domingo,Huila,Neiva,Violenta - Muertes en accidentes de transporte,Datos definitivos
19070,2018,Hombre,(45 a 49),Junio,Sábado,Huila,Baraya,Violenta - Muertes en accidentes de transporte,Datos definitivos
19071,2018,Mujer,(40 a 44),Julio,Domingo,Huila,Palermo,Violenta - Muertes en accidentes de transporte,Datos definitivos
19072,2018,Mujer,(60 a 64),Julio,Jueves,Huila,Neiva,Violenta - Muertes en accidentes de transporte,Datos definitivos
19073,2018,Hombre,(25 a 29),Julio,Viernes,Huila,Hobo,Violenta - Muertes en accidentes de transporte,Datos definitivos
19074,2018,Hombre,(50 a 54),Junio,Martes,Huila,Neiva,Violenta - Muertes en accidentes de transporte,Datos definitivos
19075,2018,Hombre,(40 a 44),Julio,Lunes,Huila,Neiva,Violenta - Muertes en accidentes de transporte,Datos definitivos
19076,2018,Hombre,(35 a 39),Julio,Domingo,Huila,Campoalegre,Violenta - Muertes en accidentes de transporte,Datos definitivos
19077,2018,Mujer,(45 a 49),Julio,Domingo,Putumayo,Villagarzón,Violenta - Muertes en accidentes de transporte,Datos definitivos
19078,2018,Hombre,(55 a 59),Julio,Jueves,Huila,Neiva,Violenta - Muertes en accidentes de transporte,Datos definitivos
19079,2018,Hombre,(60 a 64),Agosto,Lunes,Huila,Neiva,Violenta - Muertes en accidentes de transporte,Datos definitivos
19080,2018,Hombre,(60 a 64),Agosto,Miércoles,Huila,Palermo,Violenta - Muertes en accidentes de transporte,Datos definitivos
19081,2018,Hombre,(80 y más),Agosto,Lunes,Huila,Palermo,Violenta - Muertes en accidentes de transporte,Datos definitivos
19082,2018,Hombre,(30 a 34),Agosto,Lunes,Huila,Rivera,Violenta - Muertes en accidentes de transporte,Datos definitivos
19083,2018,Mujer,(25 a 29),Agosto,Lunes,Huila,Rivera,Violenta - Muertes en accidentes de transporte,Datos definitivos
19084,2018,Hombre,(40 a 44),Agosto,Martes,Huila,Rivera,Violenta - Muertes en accidentes de transporte,Datos definitivos
19085,2018,Hombre,(40 a 44),Septiembre,Sábado,Huila,Neiva,Violenta - Muertes en accidentes de transporte,Datos definitivos
19086,2018,Hombre,(30 a 34),Septiembre,Domingo,Huila,Aipe,Violenta - Muertes en accidentes de transporte,Datos definitivos
19087,2018,Mujer,(55 a 59),Septiembre,Sábado,Huila,Neiva,Violenta - Muertes en accidentes de transporte,Datos definitivos
19088,2018,Hombre,(20 a 24),Septiembre,Miércoles,Huila,Neiva,Violenta - Muertes en accidentes de transporte,Datos definitivos
19089,2018,Mujer,(35 a 39),Agosto,Lunes,Tolima,Ataco,Violenta - Muertes en accidentes de transporte,Datos definitivos
19090,2018,Hombre,(10 a 14),Septiembre,Viernes,Huila,Neiva,Violenta - Muertes en accidentes de transporte,Datos definitivos
19091,2018,Hombre,(60 a 64),Septiembre,Sábado,Huila,Neiva,Violenta - Muertes en accidentes de transporte,Datos definitivos
19092,2018,Hombre,(20 a 24),Septiembre,Lunes,Huila,Palermo,Violenta - Muertes en accidentes de transporte,Datos definitivos
19093,2018,Hombre,(25 a 29),Septiembre,Miércoles,Huila,Aipe,Violenta - Muertes en accidentes de transporte,Datos definitivos
19094,2018,Hombre,(40 a 44),Septiembre,Miércoles,Huila,Aipe,Violenta - Muertes en accidentes de transporte,Datos definitivos
19095,2018,Hombre,(15 a 17),Agosto,Martes,Huila,Neiva,Violenta - Muertes en accidentes de transporte,Datos definitivos
19096,2018,Hombre,(20 a 24),Septiembre,Viernes,Huila,Neiva,Violenta - Muertes en accidentes de transporte,Datos definitivos
19097,2018,Hombre,(70 a 74),Septiembre,Sábado,Tolima,Alpujarra,Violenta - Muertes en accidentes de transporte,Datos definitivos
19098,2018,Mujer,(45 a 49),Septiembre,Lunes,Huila,Neiva,Violenta - Muertes en accidentes de transporte,Datos definitivos
19099,2018,Hombre,(35 a 39),Septiembre,Viernes,Huila,Rivera,Violenta - Muertes en accidentes de transporte,Datos definitivos
19100,2018,Hombre,(25 a 29),Agosto,Martes,Huila,Neiva,Violenta - Muertes en accidentes de transporte,Datos definitivos
19101,2018,Hombre,(18 a 19),Octubre,Jueves,Huila,Campoalegre,Violenta - Muertes en accidentes de transporte,Datos definitivos
19102,2018,Hombre,(65 a 69),Octubre,Sábado,Huila,Aipe,Violenta - Muertes en accidentes de transporte,Datos definitivos
19103,2018,Mujer,(25 a 29),Octubre,Sábado,Huila,Aipe,Violenta - Muertes en accidentes de transporte,Datos definitivos
19104,2018,Hombre,(25 a 29),Octubre,Martes,Huila,Aipe,Violenta - Muertes en accidentes de transporte,Datos definitivos
19105,2018,Hombre,(55 a 59),Octubre,Miércoles,Huila,Neiva,Violenta - Muertes en accidentes de transporte,Datos definitivos
19106,2018,Mujer,(15 a 17),Octubre,Viernes,Huila,Neiva,Violenta - Muertes en accidentes de transporte,Datos definitivos
19107,2018,Hombre,(20 a 24),Octubre,Sábado,Huila,Neiva,Violenta - Muertes en accidentes de transporte,Datos definitivos
19108,2018,Hombre,(15 a 17),Octubre,Sábado,Huila,Rivera,Violenta - Muertes en accidentes de transporte,Datos definitivos
19109,2018,Mujer,(15 a 17),Octubre,Sábado,Huila,Rivera,Violenta - Muertes en accidentes de transporte,Datos definitivos
19110,2018,Hombre,(35 a 39),Noviembre,Sábado,Huila,Rivera,Violenta - Muertes en accidentes de transporte,Datos definitivos
19111,2018,Hombre,(45 a 49),Noviembre,Domingo,Huila,Rivera,Violenta - Muertes en accidentes de transporte,Datos definitivos
19112,2018,Hombre,(20 a 24),Noviembre,Lunes,Huila,Tello,Violenta - Muertes en accidentes de transporte,Datos definitivos
19113,2018,Hombre,(25 a 29),Noviembre,Lunes,Huila,Baraya,Violenta - Muertes en accidentes de transporte,Datos definitivos
19114,2018,Hombre,(18 a 19),Noviembre,Lunes,Huila,Tello,Violenta - Muertes en accidentes de transporte,Datos definitivos
19115,2018,Hombre,(15 a 17),Octubre,Lunes,Huila,Rivera,Violenta - Muertes en accidentes de transporte,Datos definitivos
19116,2018,Mujer,(20 a 24),Noviembre,Domingo,Huila,Rivera,Violenta - Muertes en accidentes de transporte,Datos definitivos
19117,2018,Hombre,(80 y más),Noviembre,Viernes,Huila,Neiva,Violenta - Muertes en accidentes de transporte,Datos definitivos
19118,2018,Hombre,(45 a 49),Diciembre,Domingo,Huila,Neiva,Violenta - Muertes en accidentes de transporte,Datos definitivos
19119,2018,Mujer,(45 a 49),Diciembre,Domingo,Huila,Neiva,Violenta - Muertes en accidentes de transporte,Datos definitivos
19120,2018,Hombre,(45 a 49),Diciembre,Jueves,Huila,Neiva,Violenta - Muertes en accidentes de transporte,Datos definitivos
19121,2018,Hombre,(10 a 14),Diciembre,Sábado,Huila,Aipe,Violenta - Muertes en accidentes de transporte,Datos definitivos
19122,2018,Mujer,(40 a 44),Diciembre,Sábado,Huila,Aipe,Violenta - Muertes en accidentes de transporte,Datos definitivos
19123,2018,Hombre,(40 a 44),Diciembre,Sábado,Huila,Aipe,Violenta - Muertes en accidentes de transporte,Datos definitivos
19124,2018,Hombre,(30 a 34),Noviembre,Lunes,Tolima,Armero Guayabal,Violenta - Muertes en accidentes de transporte,Datos definitivos
19125,2018,Mujer,(80 y más),Diciembre,Lunes,Huila,San Agustín,Violenta - Muertes en accidentes de transporte,Datos definitivos
19126,2018,Hombre,(80 y más),Diciembre,Martes,Huila,Neiva,Violenta - Muertes en accidentes de transporte,Datos definitivos
19127,2018,Hombre,(40 a 44),Diciembre,Domingo,Cauca,Páez,Violenta - Muertes en accidentes de transporte,Datos definitivos
19128,2018,Hombre,(20 a 24),Diciembre,Domingo,Huila,Aipe,Violenta - Muertes en accidentes de transporte,Datos definitivos
19129,2018,Hombre,(25 a 29),Diciembre,Miércoles,Huila,Baraya,Violenta - Muertes en accidentes de transporte,Datos definitivos
19130,2018,Mujer,(50 a 54),Diciembre,Lunes,Huila,Neiva,Violenta - Muertes en accidentes de transporte,Datos definitivos
19131,2018,Hombre,(20 a 24),Diciembre,Domingo,Huila,Palermo,Violenta - Muertes en accidentes de transporte,Datos definitivos
19132,2018,Hombre,(15 a 17),Octubre,Domingo,Huila,Garzón,Violenta - Muertes en accidentes de transporte,Datos definitivos
19133,2018,Mujer,(80 y más),Diciembre,Lunes,Huila,Neiva,Violenta - Muertes en accidentes de transporte,Datos definitivos
19134,2018,Mujer,(18 a 19),Diciembre,Lunes,Huila,La Plata,Violenta - Muertes en accidentes de transporte,Datos definitivos
19135,2018,Hombre,(60 a 64),Diciembre,Miércoles,Huila,Neiva,Violenta - Muertes en accidentes de transporte,Datos definitivos
19136,2018,Mujer,(15 a 17),Diciembre,Jueves,Huila,Altamira,Violenta - Muertes en accidentes de transporte,Datos definitivos
19137,2018,Hombre,(75 a 79),Diciembre,Viernes,Huila,Neiva,Violenta - Muertes en accidentes de transporte,Datos definitivos
19138,2018,Hombre,(10 a 14),Septiembre,Martes,Huila,Pital,Violenta - Muertes en accidentes de transporte,Datos definitivos
19139,2018,Hombre,(20 a 24),Enero,Lunes,Huila,Pitalito,Violenta - Muertes en accidentes de transporte,Datos definitivos
19140,2018,Mujer,(40 a 44),Enero,Viernes,Huila,Timaná,Violenta - Muertes en accidentes de transporte,Datos definitivos
19141,2018,Hombre,(25 a 29),Enero,Lunes,Huila,Pitalito,Violenta - Muertes en accidentes de transporte,Datos definitivos
19142,2018,Hombre,(40 a 44),Enero,Sábado,Huila,Palestina,Violenta - Muertes en accidentes de transporte,Datos definitivos
19143,2018,Mujer,FETOS,Febrero,Sábado,Putumayo,Mocoa,Violenta - Muertes en accidentes de transporte,Datos definitivos
19144,2018,Hombre,(20 a 24),Febrero,Miércoles,Huila,Timaná,Violenta - Muertes en accidentes de transporte,Datos definitivos
19145,2018,Hombre,(40 a 44),Marzo,Sábado,Huila,Pitalito,Violenta - Muertes en accidentes de transporte,Datos definitivos
19146,2018,Hombre,(75 a 79),Marzo,Sábado,Huila,Pitalito,Violenta - Muertes en accidentes de transporte,Datos definitivos
19147,2018,Hombre,(65 a 69),Marzo,Miércoles,Huila,Pitalito,Violenta - Muertes en accidentes de transporte,Datos definitivos
19148,2018,Hombre,(45 a 49),Febrero,Domingo,Huila,Pitalito,Violenta - Muertes en accidentes de transporte,Datos definitivos
19149,2018,Mujer,(40 a 44),Marzo,Domingo,Huila,Pitalito,Violenta - Muertes en accidentes de transporte,Datos definitivos
19150,2018,Hombre,(35 a 39),Abril,Viernes,Huila,Pitalito,Violenta - Muertes en accidentes de transporte,Datos definitivos
19151,2018,Hombre,(20 a 24),Abril,Martes,Putumayo,Mocoa,Violenta - Muertes en accidentes de transporte,Datos definitivos
19152,2018,Hombre,(18 a 19),Mayo,Sábado,Huila,Pitalito,Violenta - Muertes en accidentes de transporte,Datos definitivos
19153,2018,Hombre,(40 a 44),Mayo,Jueves,Huila,San Agustín,Violenta - Muertes en accidentes de transporte,Datos definitivos
19154,2018,Hombre,(55 a 59),Mayo,Domingo,Huila,Pitalito,Violenta - Muertes en accidentes de transporte,Datos definitivos
19155,2018,Mujer,(30 a 34),Mayo,Jueves,Huila,Isnos,Violenta - Muertes en accidentes de transporte,Datos definitivos
19156,2018,Hombre,(20 a 24),Mayo,Sábado,Huila,Acevedo,Violenta - Muertes en accidentes de transporte,Datos definitivos
19157,2018,Hombre,(60 a 64),Junio,Domingo,Huila,Palestina,Violenta - Muertes en accidentes de transporte,Datos definitivos
19158,2018,Hombre,(80 y más),Junio,Sábado,Huila,Isnos,Violenta - Muertes en accidentes de transporte,Datos definitivos
19159,2018,Hombre,(30 a 34),Junio,Domingo,Huila,Pitalito,Violenta - Muertes en accidentes de transporte,Datos definitivos
